,WA,Form,Abandoned Status Date,Area,RR Date,Fluid_AGAS,Fluid_GAS,Fluid_MGAS,Fluid_MOG,Fluid_MOIL,Fluid_OIL,Fluid_UND,Fluid_WATR,production_time,Year
881,2078,6200,1996-08-08,8000.0,1967-02-22,False,True,False,False,False,False,False,False,10760,1967
882,2078,4100,1996-08-08,8000.0,1967-02-22,False,True,False,False,False,False,False,False,10760,1967
885,2081,4575,1995-06-10,4900.0,1967-03-05,False,False,False,False,False,False,False,True,10324,1967
888,2096,4800,1992-01-29,3260.0,1967-02-23,False,False,False,False,False,True,False,False,9106,1967
890,2112,4575,1994-01-29,4900.0,1967-03-25,False,False,False,False,False,True,False,False,9807,1967
891,2116,8580,1981-09-09,740.0,1967-12-20,False,True,False,False,False,False,False,False,5012,1967
900,2143,4575,1994-01-16,4900.0,1967-06-24,False,False,False,False,False,True,False,False,9703,1967
903,2152,4100,1998-01-16,6400.0,1967-07-25,False,False,False,False,False,False,True,False,11133,1967
904,2152,2900,1998-01-16,6400.0,1967-07-25,False,False,False,False,False,False,True,False,11133,1967
911,2165,4500,1980-11-12,5200.0,1967-10-31,False,True,False,False,False,False,False,False,4761,1967
912,2165,2630,1980-11-12,5200.0,1967-10-31,False,True,False,False,False,False,False,False,4761,1967
916,2171,4800,1999-03-16,5000.0,1967-09-14,False,True,False,False,False,False,False,False,11506,1967
917,2171,4150,1999-03-16,5000.0,1967-09-14,False,True,False,False,False,False,False,False,11506,1967
921,2179,7400,1985-02-04,3200.0,1967-09-15,False,False,False,False,False,False,False,True,6352,1967
928,2194,4575,1984-10-29,4900.0,1967-10-15,False,False,False,False,False,True,False,False,6224,1967
944,2229,8600,1992-03-19,8800.0,1968-01-21,False,True,False,False,False,False,False,False,8824,1968
954,2264,4510,1973-02-06,9000.0,1968-01-24,False,False,False,False,False,True,False,False,1840,1968
956,2271,8600,2014-12-01,8800.0,1994-08-17,False,True,False,False,False,False,False,False,7411,1994
957,2274,4575,1994-12-14,4900.0,1968-02-12,False,False,False,False,False,True,False,False,9802,1968
