,WA,Form,Abandoned Status Date,RR Date,Fluid_AGAS,Fluid_GAS,Fluid_MGAS,Fluid_MOG,Fluid_MOIL,Fluid_OIL,Fluid_UND,Fluid_WATR,production_time
281,549,7400,1992-12-14,1960-03-02,False,False,False,False,False,True,False,False,11975
282,549,7400,1992-12-14,1993-02-10,False,False,False,False,False,True,False,False,-58
283,559,4800,1961-02-28,1960-02-03,False,False,False,False,False,True,False,False,391
284,562,8400,2013-02-26,1960-03-06,False,False,True,False,False,False,False,False,19350
285,562,8400,2013-02-26,1995-03-05,False,False,True,False,False,False,False,False,6568
286,563,4535,2004-07-28,1960-01-31,False,False,False,False,False,True,False,False,16250
287,566,4800,2008-02-13,1960-03-21,False,True,False,False,False,False,False,False,17495
288,571,2600,2020-02-26,1960-02-20,False,True,False,False,False,False,False,False,21921
289,579,8400,2014-03-07,1960-04-24,False,True,False,False,False,False,False,False,19675
290,579,7420,2014-03-07,1960-04-24,False,True,False,False,False,False,False,False,19675
291,579,7390,2014-03-07,1960-04-24,False,True,False,False,False,False,False,False,19675
292,584,4800,2023-02-07,1960-02-21,False,False,False,False,False,True,False,False,22997
293,585,8400,2012-03-28,1960-03-18,False,True,False,False,False,False,False,False,19003
294,588,4800,2006-03-20,1960-02-22,False,False,False,False,False,False,False,True,16828
295,588,2700,2006-03-20,1960-02-22,False,False,False,False,False,False,False,True,16828
296,588,2400,2006-03-20,1960-02-22,False,False,False,False,False,False,False,True,16828
297,594,8400,1988-02-18,1960-05-15,False,True,False,False,False,False,False,False,10140
298,601,4560,1995-01-23,1960-08-15,False,True,False,False,False,False,False,False,12579
299,601,4800,1995-01-23,1960-08-15,False,True,False,False,False,False,False,False,12579
300,601,7400,1995-01-23,1960-08-15,False,True,False,False,False,False,False,False,12579
301,604,4535,2001-05-30,1960-03-24,False,False,False,False,False,True,False,False,15042
302,612,4800,2022-03-05,1960-03-10,False,False,False,False,False,True,False,False,22640
303,615,4100,2012-01-29,1960-07-27,False,True,False,False,False,False,False,False,18813
304,632,4535,2021-08-12,1960-07-15,False,False,False,False,False,True,False,False,22308
305,633,4535,2023-10-31,1960-07-22,False,False,False,False,False,True,False,False,23111
306,642,4535,2019-09-09,1960-08-30,False,False,False,False,False,True,False,False,21559
307,644,4100,2023-01-15,1960-09-29,False,True,False,False,False,False,False,False,22753
308,653,4150,2004-11-27,1960-11-12,False,True,False,False,False,False,False,False,16086
309,658,4800,1998-08-24,1961-02-24,False,False,False,False,False,False,True,False,13695
310,658,4100,1998-08-24,1961-02-24,False,False,False,False,False,False,True,False,13695
311,658,4500,1998-08-24,1961-02-24,False,False,False,False,False,False,True,False,13695
312,662,4535,2023-02-03,1960-12-14,False,False,False,False,False,True,False,False,22696
313,663,4535,2021-07-13,1960-12-10,False,False,False,False,False,True,False,False,22130
314,667,4800,2021-02-01,1960-12-17,False,False,False,True,False,False,False,False,21961
315,667,4100,2021-02-01,1960-12-17,False,False,False,True,False,False,False,False,21961
316,671,7500,2008-03-22,1985-03-22,False,False,False,False,False,True,False,False,8401
317,673,8200,2008-02-27,1999-02-04,False,True,False,False,False,False,False,False,3310
318,677,8400,2013-03-10,1961-01-24,False,False,False,False,False,False,True,False,19038
319,682,8580,2023-02-02,1961-12-06,False,True,False,False,False,False,False,False,22338
320,682,7100,2023-02-02,1961-12-06,False,True,False,False,False,False,False,False,22338
321,682,7100,2023-02-02,2005-12-08,False,True,False,False,False,False,False,False,6265
322,689,4800,2023-03-09,1961-03-05,False,False,False,False,False,True,False,False,22649
323,697,6200,2021-02-24,1961-03-18,False,False,False,False,False,False,False,True,21893
324,697,4800,2021-02-24,1961-03-18,False,False,False,False,False,False,False,True,21893
325,697,4540,2021-02-24,1961-03-18,False,False,False,False,False,False,False,True,21893
326,700,8400,1999-03-06,1961-03-20,False,True,False,False,False,False,False,False,13865
327,704,8400,2005-12-14,1961-03-29,False,True,False,False,False,False,False,False,16331
328,707,2700,2014-03-10,1961-02-15,False,False,False,False,False,False,False,True,19381
329,707,2710,2014-03-10,1961-02-15,False,False,False,False,False,False,False,True,19381
330,709,4805,2011-02-01,1961-02-18,False,True,False,False,False,False,False,False,18245
331,709,2600,2011-02-01,1961-02-18,False,True,False,False,False,False,False,False,18245
332,717,7400,2020-03-09,1961-03-30,False,True,False,False,False,False,False,False,21529
333,720,2700,1963-02-18,1961-03-09,False,False,True,False,False,False,False,False,711
334,720,2710,1963-02-18,1961-03-09,False,False,True,False,False,False,False,False,711
335,721,4510,2023-03-17,1961-02-24,False,True,False,False,False,False,False,False,22666
336,721,2700,2023-03-17,1961-02-24,False,True,False,False,False,False,False,False,22666
